task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t160,spray,m17,m17_s3,segment,r6,greedy,2026-01-01T08:26:57.90,e700,2026-01-01T08:30:38.10,2026-01-01T08:30:54.88
t158,harvest,m17,m17_s2,segment,r5,greedy,2026-01-01T08:27:07.18,e705,2026-01-01T08:40:17.34,2026-01-01T08:40:43.29
t149,harvest,m16,m16_s2,segment,r8,greedy,2026-01-01T08:27:14.96,e710,2026-01-01T08:39:27.02,2026-01-01T08:39:52.05
t165,harvest,m18,m18_s1,segment,r4,greedy,2026-01-01T08:27:19.32,e715,2026-01-01T08:39:18.21,2026-01-01T08:39:45.99
t142,harvest,m15,m15_s3,segment,r1,greedy,2026-01-01T08:27:22.25,e720,2026-01-01T08:41:06.37,2026-01-01T08:41:34.33
t177,harvest,m19,m19_s2,segment,r4,greedy,2026-01-01T08:28:30.01,e725,2026-01-01T08:41:04.85,2026-01-01T08:41:26.39
t174,spray,m19,m19_s1,segment,r2,greedy,2026-01-01T08:28:41.17,e729,2026-01-01T08:31:28.54,2026-01-01T08:31:43.23
t170,harvest,m18,m18_s3,segment,r8,greedy,2026-01-01T08:28:42.56,e734,2026-01-01T08:40:33.96,2026-01-01T08:41:01.76
t76,final_inspection,m8,,mission,r7,greedy,2026-01-01T08:29:05.31,e738,2026-01-01T08:35:44.05,2026-01-01T08:35:51.95
t167,spray,m18,m18_s2,segment,r6,greedy,2026-01-01T08:29:07.22,e742,2026-01-01T08:33:03.03,2026-01-01T08:33:24.59
t156,harvest,m17,m17_s1,segment,r5,greedy,2026-01-01T08:29:33.71,e747,2026-01-01T08:41:21.96,2026-01-01T08:41:46.32
t189,harvest,m20,m20_s3,segment,r4,greedy,2026-01-01T08:29:43.61,e752,2026-01-01T08:42:31.59,2026-01-01T08:42:51.17
t86,final_inspection,m9,,mission,r3,greedy,2026-01-01T08:30:02.04,e756,2026-01-01T08:36:13.85,2026-01-01T08:36:22.50
t179,spray,m19,m19_s3,segment,r2,greedy,2026-01-01T08:30:40.19,e760,2026-01-01T08:33:29.38,2026-01-01T08:33:50.65
t186,spray,m20,m20_s2,segment,r6,greedy,2026-01-01T08:30:52.46,e764,2026-01-01T08:34:22.45,2026-01-01T08:34:42.01
t161,harvest,m17,m17_s3,segment,r8,greedy,2026-01-01T08:30:54.88,e769,2026-01-01T08:43:41.33,2026-01-01T08:44:04.97
t184,harvest,m20,m20_s1,segment,r5,greedy,2026-01-01T08:31:24.77,e774,2026-01-01T08:42:21.28,2026-01-01T08:42:44.10
t175,harvest,m19,m19_s1,segment,r4,greedy,2026-01-01T08:31:43.23,e779,2026-01-01T08:44:26.17,2026-01-01T08:44:49.14
t95,final_inspection,m10,,mission,r7,greedy,2026-01-01T08:32:20.03,e783,2026-01-01T08:37:26.10,2026-01-01T08:37:32.81
t168,harvest,m18,m18_s2,segment,r1,greedy,2026-01-01T08:33:24.59,e788,2026-01-01T08:43:12.10,2026-01-01T08:43:40.84
t180,harvest,m19,m19_s3,segment,r8,greedy,2026-01-01T08:33:50.65,e793,2026-01-01T08:45:05.12,2026-01-01T08:45:25.11
t187,harvest,m20,m20_s2,segment,r5,greedy,2026-01-01T08:34:42.01,e798,2026-01-01T08:44:17.51,2026-01-01T08:44:42.57
t105,final_inspection,m11,,mission,r3,greedy,2026-01-01T08:36:03.96,e802,2026-01-01T08:37:15.20,2026-01-01T08:37:22.61
t114,final_inspection,m12,,mission,r3,greedy,2026-01-01T08:37:14.05,e806,2026-01-01T08:38:55.83,2026-01-01T08:39:03.47
t124,final_inspection,m13,,mission,r7,greedy,2026-01-01T08:37:30.36,e810,2026-01-01T08:38:56.42,2026-01-01T08:39:05.16
t133,final_inspection,m14,,mission,r3,greedy,2026-01-01T08:38:54.23,e814,2026-01-01T08:39:43.11,2026-01-01T08:39:52.57
t152,final_inspection,m16,,mission,r7,greedy,2026-01-01T08:39:52.05,e818,2026-01-01T08:41:52.49,2026-01-01T08:42:00.63
t143,final_inspection,m15,,mission,r7,greedy,2026-01-01T08:41:34.33,e822,2026-01-01T08:42:12.61,2026-01-01T08:42:19.99
t171,final_inspection,m18,,mission,r1,greedy,2026-01-01T08:43:40.84,e826,2026-01-01T08:44:03.02,2026-01-01T08:44:10.23
t162,final_inspection,m17,,mission,r3,greedy,2026-01-01T08:44:04.97,e830,2026-01-01T08:44:32.57,2026-01-01T08:44:39.85
