pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
objective_switch,mission,,e157,e225,,,r2,m1,m5,,,,,,,,,,,
objective_switch,mission,,e272,e302,,,r2,m5,m4,,,,,,,,,,,
objective_switch,mission,,e302,e323,,,r2,m4,m3,,,,,,,,,,,
objective_switch,mission,,e323,e385,,,r2,m3,m7,,,,,,,,,,,
objective_switch,mission,,e385,e473,,,r2,m7,m9,,,,,,,,,,,
objective_switch,mission,,e531,e563,,,r2,m9,m11,,,,,,,,,,,
objective_switch,mission,,e563,e607,,,r2,m11,m12,,,,,,,,,,,
objective_switch,mission,,e607,e624,,,r2,m12,m14,,,,,,,,,,,
objective_switch,mission,,e624,e682,,,r2,m14,m16,,,,,,,,,,,
objective_switch,mission,,e682,e696,,,r2,m16,m17,,,,,,,,,,,
objective_switch,mission,,e696,e729,,,r2,m17,m19,,,,,,,,,,,
objective_switch,mission,,e100,e112,,,r3,m13,m3,,,,,,,,,,,
objective_switch,mission,,e112,e140,,,r3,m3,m17,,,,,,,,,,,
objective_switch,mission,,e140,e161,,,r3,m17,m20,,,,,,,,,,,
objective_switch,mission,,e161,e205,,,r3,m20,m9,,,,,,,,,,,
objective_switch,mission,,e205,e213,,,r3,m9,m8,,,,,,,,,,,
objective_switch,mission,,e213,e237,,,r3,m8,m10,,,,,,,,,,,
objective_switch,mission,,e237,e259,,,r3,m10,m11,,,,,,,,,,,
objective_switch,mission,,e259,e315,,,r3,m11,m13,,,,,,,,,,,
objective_switch,mission,,e28,e52,,,r3,m1,m2,,,,,,,,,,,
objective_switch,mission,,e315,e327,,,r3,m13,m14,,,,,,,,,,,
objective_switch,mission,,e327,e357,,,r3,m14,m15,,,,,,,,,,,
objective_switch,mission,,e357,e365,,,r3,m15,m2,,,,,,,,,,,
objective_switch,mission,,e365,e381,,,r3,m2,m16,,,,,,,,,,,
objective_switch,mission,,e381,e407,,,r3,m16,m17,,,,,,,,,,,
objective_switch,mission,,e407,e437,,,r3,m17,m19,,,,,,,,,,,
objective_switch,mission,,e437,e459,,,r3,m19,m20,,,,,,,,,,,
objective_switch,mission,,e459,e485,,,r3,m20,m5,,,,,,,,,,,
objective_switch,mission,,e485,e659,,,r3,m5,m7,,,,,,,,,,,
objective_switch,mission,,e52,e64,,,r3,m2,m10,,,,,,,,,,,
objective_switch,mission,,e64,e72,,,r3,m10,m5,,,,,,,,,,,
objective_switch,mission,,e659,e756,,,r3,m7,m9,,,,,,,,,,,
objective_switch,mission,,e72,e92,,,r3,m5,m4,,,,,,,,,,,
objective_switch,mission,,e756,e802,,,r3,m9,m11,,,,,,,,,,,
objective_switch,mission,,e8,e28,,,r3,m2,m1,,,,,,,,,,,
objective_switch,mission,,e802,e806,,,r3,m11,m12,,,,,,,,,,,
objective_switch,mission,,e806,e814,,,r3,m12,m14,,,,,,,,,,,
objective_switch,mission,,e814,e830,,,r3,m14,m17,,,,,,,,,,,
objective_switch,mission,,e830,e834,,,r3,m17,m20,,,,,,,,,,,
objective_switch,mission,,e92,e100,,,r3,m4,m13,,,,,,,,,,,
objective_switch,mission,,e197,e246,,,r4,m2,m5,,,,,,,,,,,
objective_switch,mission,,e251,e268,,,r4,m5,m4,,,,,,,,,,,
objective_switch,mission,,e286,e340,,,r4,m4,m7,,,,,,,,,,,
objective_switch,mission,,e340,e390,,,r4,m7,m4,,,,,,,,,,,
objective_switch,mission,,e390,e395,,,r4,m4,m3,,,,,,,,,,,
objective_switch,mission,,e395,e417,,,r4,m3,m6,,,,,,,,,,,
objective_switch,mission,,e417,e469,,,r4,m6,m7,,,,,,,,,,,
objective_switch,mission,,e469,e499,,,r4,m7,m6,,,,,,,,,,,
objective_switch,mission,,e499,e508,,,r4,m6,m8,,,,,,,,,,,
objective_switch,mission,,e508,e527,,,r4,m8,m10,,,,,,,,,,,
objective_switch,mission,,e527,e545,,,r4,m10,m9,,,,,,,,,,,
objective_switch,mission,,e545,e559,,,r4,m9,m10,,,,,,,,,,,
objective_switch,mission,,e559,e590,,,r4,m10,m12,,,,,,,,,,,
objective_switch,mission,,e590,e598,,,r4,m12,m11,,,,,,,,,,,
objective_switch,mission,,e598,e673,,,r4,m11,m13,,,,,,,,,,,
objective_switch,mission,,e673,e678,,,r4,m13,m14,,,,,,,,,,,
objective_switch,mission,,e678,e715,,,r4,m14,m18,,,,,,,,,,,
objective_switch,mission,,e715,e725,,,r4,m18,m19,,,,,,,,,,,
objective_switch,mission,,e725,e752,,,r4,m19,m20,,,,,,,,,,,
objective_switch,mission,,e752,e779,,,r4,m20,m19,,,,,,,,,,,
objective_switch,mission,,e104,e120,,,r5,m14,m7,,,,,,,,,,,
objective_switch,mission,,e120,e153,,,r5,m7,m19,,,,,,,,,,,
objective_switch,mission,,e153,e173,,,r5,m19,m6,,,,,,,,,,,
objective_switch,mission,,e16,e40,,,r5,m4,m7,,,,,,,,,,,
objective_switch,mission,,e173,e217,,,r5,m6,m8,,,,,,,,,,,
objective_switch,mission,,e217,e233,,,r5,m8,m10,,,,,,,,,,,
objective_switch,mission,,e233,e255,,,r5,m10,m11,,,,,,,,,,,
objective_switch,mission,,e255,e294,,,r5,m11,m12,,,,,,,,,,,
objective_switch,mission,,e294,e331,,,r5,m12,m14,,,,,,,,,,,
objective_switch,mission,,e331,e361,,,r5,m14,m15,,,,,,,,,,,
