perspective_type,perspective_id,source_event_id,source_task_id,source_robot_id,target_event_id,target_task_id,target_robot_id
robot,r7,e212,t88,r7,e232,t83,r7
robot,r7,e232,t83,r7,e285,t119,r7
robot,r7,e285,t119,r7,e314,t112,r7
robot,r7,e314,t112,r7,e332,t128,r7
robot,r7,e332,t128,r7,e353,t138,r7
robot,r7,e353,t138,r7,e361,t19,r7
robot,r7,e361,t19,r7,e374,t147,r7
robot,r7,e374,t147,r7,e403,t173,r7
robot,r7,e403,t173,r7,e419,t185,r7
robot,r7,e419,t185,r7,e431,t166,r7
robot,r7,e431,t166,r7,e640,t29,r7
robot,r7,e640,t29,r7,e685,t67,r7
robot,r7,e685,t67,r7,e766,t95,r7
robot,r7,e766,t95,r7,e798,t86,r7
robot,r7,e798,t86,r7,e802,t105,r7
robot,r7,e802,t105,r7,e810,t133,r7
robot,r7,e810,t133,r7,e814,t114,r7
robot,r7,e814,t114,r7,e822,t162,r7
robot,r7,e822,t162,r7,e826,t190,r7
robot,r8,e149,t6,r8,e186,t4,r8
robot,r8,e186,t4,r8,e208,t13,r8
robot,r8,e208,t13,r8,e246,t16,r8
robot,r8,e246,t16,r8,e277,t32,r8
robot,r8,e277,t32,r8,e302,t25,r8
robot,r8,e302,t25,r8,e324,t42,r8
robot,r8,e324,t42,r8,e366,t28,r8
robot,r8,e366,t28,r8,e440,t56,r8
robot,r8,e440,t56,r8,e449,t61,r8
robot,r8,e449,t61,r8,e463,t51,r8
robot,r8,e463,t51,r8,e481,t66,r8
robot,r8,e481,t66,r8,e495,t54,r8
robot,r8,e495,t54,r8,e510,t73,r8
robot,r8,e510,t73,r8,e515,t70,r8
robot,r8,e515,t70,r8,e550,t104,r8
robot,r8,e550,t104,r8,e594,t127,r8
robot,r8,e594,t127,r8,e624,t139,r8
robot,r8,e624,t139,r8,e645,t118,r8
robot,r8,e645,t118,r8,e669,t111,r8
robot,r8,e669,t111,r8,e712,t161,r8
robot,r8,e712,t161,r8,e743,t180,r8
robot,r8,e743,t180,r8,e762,t177,r8
