event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
184,Control,move_to,2026-08-27T19:26:34.510378,2026-08-27T19:26:47.166164,robot3,m3,m3_s9
185,Task,vacuum,2026-08-27T19:26:47.167878,2026-08-27T19:27:01.172497,robot3,m3,m3_s9
186,Control,move_to,2026-08-27T19:27:01.507363,2026-08-27T19:27:21.211830,robot3,m3,m3_s2
187,Task,disinfect,2026-08-27T19:27:21.214769,2026-08-27T19:27:27.222175,robot3,m3,m3_s2
188,Control,move_to,2026-08-27T19:27:27.522649,2026-08-27T19:27:32.000385,robot3,m3,m3_s4
189,Task,disinfect,2026-08-27T19:27:32.002433,2026-08-27T19:27:40.009712,robot3,m3,m3_s4
190,Task,final_room_check,2026-08-27T19:27:40.509744,2026-08-27T19:27:46.513495,robot3,m3,m3_s4
191,Control,move_to,2026-08-27T19:27:47.539203,2026-08-27T19:27:50.374189,robot3,m3,m3_s7
192,Task,disinfect,2026-08-27T19:27:50.376317,2026-08-27T19:27:56.382820,robot3,m3,m3_s7
193,Task,final_room_check,2026-08-27T19:27:58.510107,2026-08-27T19:28:03.015935,robot3,m3,m3_s7
194,Control,move_to,2026-08-27T19:28:05.518159,2026-08-27T19:28:26.115125,robot3,m3,m3_s9
195,Task,disinfect,2026-08-27T19:28:26.117690,2026-08-27T19:28:34.122956,robot3,m3,m3_s9
196,Control,move_to,2026-08-27T19:28:34.514096,2026-08-27T19:28:52.959983,robot3,m3,m3_s13
197,Task,vacuum,2026-08-27T19:28:52.964136,2026-08-27T19:29:17.471848,robot3,m3,m3_s13
198,Control,undock,2026-08-27T19:24:49.546296,2026-08-27T19:24:53.549351,robot4,m3,m3_s8
199,Control,move_to,2026-08-27T19:24:53.549859,2026-08-27T19:25:10.047697,robot4,m3,m3_s8
200,Task,check_room,2026-08-27T19:25:10.050529,2026-08-27T19:25:20.557859,robot4,m3,m3_s8
201,Control,move_to,2026-08-27T19:25:21.516361,2026-08-27T19:26:11.640528,robot4,m3,m3_s12
202,Task,check_room,2026-08-27T19:26:11.642239,2026-08-27T19:26:16.147761,robot4,m3,m3_s12
203,Control,move_to,2026-08-27T19:26:27.500482,2026-08-27T19:27:12.851084,robot4,m3,m3_s7
204,Task,mop,2026-08-27T19:27:12.854076,2026-08-27T19:27:29.362546,robot4,m3,m3_s7
205,Control,move_to,2026-08-27T19:27:29.505223,2026-08-27T19:27:42.929035,robot4,m3,m3_s5
206,Task,disinfect,2026-08-27T19:27:42.931948,2026-08-27T19:27:52.940017,robot4,m3,m3_s5
207,Control,move_to,2026-08-27T19:27:58.506964,2026-08-27T19:28:20.053281,robot4,m3,m3_s8
208,Task,disinfect,2026-08-27T19:28:20.054052,2026-08-27T19:28:34.060815,robot4,m3,m3_s8
209,Control,move_to,2026-08-27T19:28:37.506959,2026-08-27T19:29:16.347028,robot4,m3,m3_s10
210,Task,disinfect,2026-08-27T19:29:16.349933,2026-08-27T19:29:26.358458,robot4,m3,m3_s10
211,Control,move_to,2026-08-27T19:29:31.509032,2026-08-27T19:29:53.877125,robot4,m3,m3_s14
212,Task,mop,2026-08-27T19:29:53.879974,2026-08-27T19:30:15.886875,robot4,m3,m3_s14
