task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t18,harvest,m2,m2_s3,segment,r5,random,2026-01-01T08:23:31.33,e467,2026-01-01T09:09:41.46,2026-01-01T09:10:04.76
t108,harvest,m12,m12_s1,segment,r1,random,2026-01-01T08:23:44.29,e472,2026-01-01T08:38:54.45,2026-01-01T08:39:22.84
t47,harvest,m5,m5_s3,segment,r1,random,2026-01-01T08:23:59.25,e477,2026-01-01T08:42:00.70,2026-01-01T08:42:22.23
t4,harvest,m1,m1_s1,segment,r5,random,2026-01-01T08:24:33.03,e482,2026-01-01T09:11:12.73,2026-01-01T09:11:36.68
t51,harvest,m6,m6_s1,segment,r4,random,2026-01-01T08:24:44.58,e487,2026-01-01T08:27:47.91,2026-01-01T08:28:07.32
t37,harvest,m4,m4_s3,segment,r4,random,2026-01-01T08:25:01.71,e492,2026-01-01T08:29:16.07,2026-01-01T08:29:37.70
t170,harvest,m18,m18_s3,segment,r1,random,2026-01-01T08:25:39.20,e497,2026-01-01T08:43:25.81,2026-01-01T08:43:53.61
t122,spray,m13,m13_s3,segment,r6,random,2026-01-01T08:26:31.06,e501,2026-01-01T08:28:14.80,2026-01-01T08:28:29.99
t70,harvest,m8,m8_s1,segment,r1,random,2026-01-01T08:27:12.89,e506,2026-01-01T08:46:22.95,2026-01-01T08:46:44.63
t101,harvest,m11,m11_s2,segment,r5,random,2026-01-01T08:27:13.89,e511,2026-01-01T09:13:23.22,2026-01-01T09:13:51.52
t136,spray,m15,m15_s1,segment,r6,random,2026-01-01T08:27:55.31,e515,2026-01-01T08:29:18.19,2026-01-01T08:29:36.53
t94,harvest,m10,m10_s3,segment,r1,random,2026-01-01T08:28:01.42,e520,2026-01-01T08:48:52.74,2026-01-01T08:49:13.57
t123,harvest,m13,m13_s3,segment,r4,random,2026-01-01T08:28:29.99,e525,2026-01-01T08:30:59.50,2026-01-01T08:31:27.78
t84,spray,m9,m9_s3,segment,r7,random,2026-01-01T08:29:23.69,e529,2026-01-01T08:41:13.58,2026-01-01T08:41:33.36
t137,harvest,m15,m15_s1,segment,r4,random,2026-01-01T08:29:36.53,e534,2026-01-01T08:32:19.13,2026-01-01T08:32:47.70
t127,harvest,m14,m14_s1,segment,r8,random,2026-01-01T08:29:47.65,e539,2026-01-01T08:30:46.59,2026-01-01T08:31:13.36
t117,spray,m13,m13_s1,segment,r6,random,2026-01-01T08:29:56.23,e543,2026-01-01T08:30:59.92,2026-01-01T08:31:18.08
t148,spray,m16,m16_s2,segment,r6,random,2026-01-01T08:30:40.09,e547,2026-01-01T08:33:54.41,2026-01-01T08:34:15.31
