objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
segment,r7,e601,e673,m19_s1,m12_s2
segment,r7,e88,e112,m7_s3,m5_s2
segment,r8,e335,e444,m2_s1,m13_s2
segment,r8,e444,e462,m13_s2,m10_s1
segment,r8,e462,e539,m10_s1,m14_s1
segment,r8,e539,e620,m14_s1,m14_s2
segment,r8,e620,e625,m14_s2,m4_s2
segment,r8,e625,e634,m4_s2,m11_s1
segment,r8,e634,e644,m11_s1,m12_s3
segment,r8,e644,e669,m12_s3,m20_s2
segment,r8,e669,e701,m20_s2,m15_s2
segment,r8,e701,e747,m15_s2,m19_s2
segment,r8,e747,e757,m19_s2,m3_s3
