objective_type,objective_1,objective_2,mission_id,overlap_start,overlap_end
mission,m2,m8,,2026-01-01T08:04:43.79,2026-01-01T08:21:20.82
mission,m2,m9,,2026-01-01T08:05:44.92,2026-01-01T08:21:20.82
mission,m20,m3,,2026-01-01T08:11:47.88,2026-01-01T08:30:18.05
mission,m20,m4,,2026-01-01T08:11:47.88,2026-01-01T08:27:43.25
mission,m20,m5,,2026-01-01T08:11:47.88,2026-01-01T08:28:33.23
mission,m20,m6,,2026-01-01T08:11:47.88,2026-01-01T08:31:48.69
mission,m20,m7,,2026-01-01T08:11:47.88,2026-01-01T08:30:59.52
mission,m20,m8,,2026-01-01T08:11:47.88,2026-01-01T08:32:57.27
mission,m20,m9,,2026-01-01T08:11:47.88,2026-01-01T08:35:33.39
mission,m3,m4,,2026-01-01T08:02:06.85,2026-01-01T08:27:43.25
mission,m3,m5,,2026-01-01T08:02:06.85,2026-01-01T08:28:33.23
mission,m3,m6,,2026-01-01T08:03:37.02,2026-01-01T08:30:18.05
mission,m3,m7,,2026-01-01T08:02:06.85,2026-01-01T08:30:18.05
mission,m3,m8,,2026-01-01T08:04:43.79,2026-01-01T08:30:18.05
mission,m3,m9,,2026-01-01T08:05:44.92,2026-01-01T08:30:18.05
mission,m4,m5,,2026-01-01T08:01:31.92,2026-01-01T08:27:43.25
mission,m4,m6,,2026-01-01T08:03:37.02,2026-01-01T08:27:43.25
mission,m4,m7,,2026-01-01T08:02:06.60,2026-01-01T08:27:43.25
mission,m4,m8,,2026-01-01T08:04:43.79,2026-01-01T08:27:43.25
mission,m4,m9,,2026-01-01T08:05:44.92,2026-01-01T08:27:43.25
mission,m5,m6,,2026-01-01T08:03:37.02,2026-01-01T08:28:33.23
mission,m5,m7,,2026-01-01T08:02:06.60,2026-01-01T08:28:33.23
mission,m5,m8,,2026-01-01T08:04:43.79,2026-01-01T08:28:33.23
mission,m5,m9,,2026-01-01T08:05:44.92,2026-01-01T08:28:33.23
mission,m6,m7,,2026-01-01T08:03:37.02,2026-01-01T08:30:59.52
mission,m6,m8,,2026-01-01T08:04:43.79,2026-01-01T08:31:48.69
mission,m6,m9,,2026-01-01T08:05:44.92,2026-01-01T08:31:48.69
mission,m7,m8,,2026-01-01T08:04:43.79,2026-01-01T08:30:59.52
mission,m7,m9,,2026-01-01T08:05:44.92,2026-01-01T08:30:59.52
mission,m8,m9,,2026-01-01T08:05:44.92,2026-01-01T08:32:57.27
segment,m10_s1,m10_s2,m10,2026-01-01T08:13:46.67,2026-01-01T08:28:03.44
segment,m10_s1,m10_s3,m10,2026-01-01T08:15:09.06,2026-01-01T08:28:03.44
segment,m10_s2,m10_s3,m10,2026-01-01T08:15:09.06,2026-01-01T08:29:02.33
segment,m11_s1,m11_s2,m11,2026-01-01T08:16:54.34,2026-01-01T08:30:38.32
segment,m11_s1,m11_s3,m11,2026-01-01T08:16:54.34,2026-01-01T08:31:25.66
segment,m11_s2,m11_s3,m11,2026-01-01T08:16:31.32,2026-01-01T08:30:38.32
segment,m12_s1,m12_s2,m12,2026-01-01T08:18:28.65,2026-01-01T08:30:32.17
segment,m12_s1,m12_s3,m12,2026-01-01T08:19:27.00,2026-01-01T08:30:32.17
segment,m12_s2,m12_s3,m12,2026-01-01T08:19:27.00,2026-01-01T08:33:34.58
segment,m13_s1,m13_s2,m13,2026-01-01T08:18:23.53,2026-01-01T08:32:50.29
segment,m13_s1,m13_s3,m13,2026-01-01T08:17:51.21,2026-01-01T08:34:15.91
segment,m13_s2,m13_s3,m13,2026-01-01T08:18:23.53,2026-01-01T08:32:50.29
segment,m14_s1,m14_s2,m14,2026-01-01T08:18:50.17,2026-01-01T08:32:58.04
segment,m14_s1,m14_s3,m14,2026-01-01T08:19:17.69,2026-01-01T08:32:58.04
segment,m14_s2,m14_s3,m14,2026-01-01T08:19:17.69,2026-01-01T08:33:46.76
segment,m15_s1,m15_s2,m15,2026-01-01T08:19:59.76,2026-01-01T08:35:24.18
segment,m15_s1,m15_s3,m15,2026-01-01T08:21:51.03,2026-01-01T08:36:54.83
segment,m15_s2,m15_s3,m15,2026-01-01T08:21:51.03,2026-01-01T08:35:24.18
segment,m16_s1,m16_s2,m16,2026-01-01T08:23:41.98,2026-01-01T08:37:45.97
segment,m16_s1,m16_s3,m16,2026-01-01T08:23:41.98,2026-01-01T08:35:46.55
segment,m16_s2,m16_s3,m16,2026-01-01T08:20:47.96,2026-01-01T08:35:46.55
segment,m17_s1,m17_s2,m17,2026-01-01T08:24:30.09,2026-01-01T08:39:06.76
segment,m17_s1,m17_s3,m17,2026-01-01T08:24:30.09,2026-01-01T08:41:00.36
segment,m17_s2,m17_s3,m17,2026-01-01T08:22:34.84,2026-01-01T08:39:06.76
segment,m18_s1,m18_s2,m18,2026-01-01T08:25:10.11,2026-01-01T08:40:46.60
segment,m18_s1,m18_s3,m18,2026-01-01T08:25:10.11,2026-01-01T08:39:31.70
segment,m18_s2,m18_s3,m18,2026-01-01T08:24:42.03,2026-01-01T08:39:31.70
segment,m19_s1,m19_s2,m19,2026-01-01T08:27:21.55,2026-01-01T08:42:27.00
segment,m19_s1,m19_s3,m19,2026-01-01T08:27:21.55,2026-01-01T08:44:23.30
segment,m19_s2,m19_s3,m19,2026-01-01T08:26:28.19,2026-01-01T08:42:27.00
segment,m1_s1,m1_s2,m1,2026-01-01T08:02:46.25,2026-01-01T08:03:59.99
segment,m1_s1,m1_s3,m1,2026-01-01T08:03:12.29,2026-01-01T08:05:27.68
segment,m1_s2,m1_s3,m1,2026-01-01T08:03:12.29,2026-01-01T08:03:59.99
segment,m20_s1,m20_s2,m20,2026-01-01T08:25:36.22,2026-01-01T08:40:01.70
segment,m20_s1,m20_s3,m20,2026-01-01T08:25:48.94,2026-01-01T08:40:01.70
segment,m20_s2,m20_s3,m20,2026-01-01T08:25:48.94,2026-01-01T08:41:22.13
segment,m2_s1,m2_s2,m2,2026-01-01T08:04:28.13,2026-01-01T08:07:21.93
