perspective_type,perspective_id,source_event_id,source_task_id,source_robot_id,target_event_id,target_task_id,target_robot_id
robot,r5,e249,t100,r5,e285,t119,r5
robot,r5,e285,t119,r5,e305,t112,r5
robot,r5,e305,t112,r5,e357,t140,r5
robot,r5,e357,t140,r5,e394,t154,r5
robot,r5,e394,t154,r5,e432,t183,r5
robot,r5,e432,t183,r5,e444,t173,r5
robot,r5,e444,t173,r5,e504,t54,r5
robot,r5,e504,t54,r5,e544,t101,r5
robot,r5,e544,t101,r5,e587,t120,r5
robot,r5,e587,t120,r5,e614,t132,r5
robot,r5,e614,t132,r5,e663,t130,r5
robot,r5,e663,t130,r5,e668,t111,r5
robot,r5,e668,t111,r5,e687,t146,r5
robot,r5,e687,t146,r5,e714,t142,r5
robot,r6,e161,t15,r6,e229,t46,r6
robot,r6,e229,t46,r6,e313,t22,r6
robot,r6,e313,t22,r6,e377,t60,r6
robot,r6,e377,t60,r6,e385,t53,r6
robot,r6,e385,t53,r6,e406,t72,r6
robot,r6,e406,t72,r6,e532,t103,r6
robot,r6,e532,t103,r6,e557,t98,r6
robot,r6,e557,t98,r6,e595,t129,r6
robot,r6,e595,t129,r6,e628,t136,r6
robot,r6,e628,t136,r6,e658,t141,r6
robot,r6,e658,t141,r6,e705,t155,r6
robot,r6,e705,t155,r6,e728,t186,r6
robot,r6,e728,t186,r6,e751,t174,r6
robot,r7,e20,t39,r7,e24,t2,r7
robot,r7,e24,t2,r7,e44,t12,r7
robot,r7,e44,t12,r7,e64,t87,r7
robot,r7,e64,t87,r7,e72,t43,r7
robot,r7,e72,t43,r7,e80,t96,r7
robot,r7,e80,t96,r7,e84,t31,r7
robot,r7,e84,t31,r7,e96,t106,r7
robot,r7,e96,t106,r7,e112,t24,r7
robot,r7,e112,t24,r7,e140,t153,r7
robot,r7,e140,t153,r7,e165,t182,r7
robot,r7,e165,t182,r7,e208,t74,r7
robot,r7,e208,t74,r7,e212,t88,r7
robot,r7,e212,t88,r7,e233,t78,r7
robot,r7,e233,t78,r7,e281,t116,r7
robot,r7,e281,t116,r7,e301,t109,r7
robot,r7,e301,t109,r7,e330,t131,r7
robot,r7,e330,t131,r7,e369,t147,r7
robot,r7,e369,t147,r7,e398,t157,r7
robot,r7,e398,t157,r7,e418,t169,r7
robot,r7,e418,t169,r7,e436,t185,r7
robot,r7,e436,t185,r7,e470,t10,r7
robot,r7,e470,t10,r7,e604,t38,r7
robot,r7,e604,t38,r7,e645,t29,r7
robot,r7,e645,t29,r7,e763,t57,r7
robot,r7,e763,t57,r7,e798,t86,r7
robot,r7,e798,t86,r7,e806,t124,r7
robot,r7,e806,t124,r7,e810,t105,r7
robot,r7,e810,t105,r7,e818,t152,r7
robot,r7,e818,t152,r7,e822,t143,r7
robot,r7,e822,t143,r7,e834,t171,r7
robot,r8,e149,t6,r8,e186,t4,r8
robot,r8,e186,t4,r8,e196,t13,r8
robot,r8,e196,t13,r8,e262,t16,r8
robot,r8,e262,t16,r8,e277,t9,r8
robot,r8,e277,t9,r8,e340,t47,r8
robot,r8,e340,t47,r8,e390,t35,r8
robot,r8,e390,t35,r8,e428,t23,r8
robot,r8,e428,t23,r8,e461,t75,r8
robot,r8,e461,t75,r8,e480,t61,r8
robot,r8,e480,t61,r8,e490,t51,r8
robot,r8,e490,t51,r8,e519,t92,r8
robot,r8,e519,t92,r8,e524,t94,r8
robot,r8,e524,t94,r8,e562,t85,r8
robot,r8,e562,t85,r8,e582,t80,r8
robot,r8,e582,t80,r8,e624,t123,r8
robot,r8,e624,t123,r8,e654,t151,r8
robot,r8,e654,t151,r8,e692,t149,r8
robot,r8,e692,t149,r8,e719,t165,r8
robot,r8,e719,t165,r8,e738,t177,r8
robot,r8,e738,t177,r8,e780,t168,r8
