pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
handover,mission,m9,e237,e233,r3,r7,,,,,,,,,,,,,,
handover,mission,m9,e241,e237,r5,r3,,,,,,,,,,,,,,
handover,mission,m9,e514,e562,r1,r8,,,,,,,,,,,,,,
handover,mission,m9,e528,e514,r2,r1,,,,,,,,,,,,,,
handover,mission,m9,e582,e798,r8,r7,,,,,,,,,,,,,,
handover,segment,m10_s1,e212,e495,r7,r1,,,,,,,,,,,,,,
handover,segment,m10_s2,e216,e456,r5,r2,,,,,,,,,,,,,,
handover,segment,m10_s2,e456,e519,r2,r8,,,,,,,,,,,,,,
handover,segment,m10_s3,e220,e524,r1,r8,,,,,,,,,,,,,,
handover,segment,m11_s1,e245,e557,r1,r6,,,,,,,,,,,,,,
handover,segment,m11_s1,e557,e641,r6,r1,,,,,,,,,,,,,,
handover,segment,m11_s3,e253,e532,r3,r6,,,,,,,,,,,,,,
handover,segment,m11_s3,e532,e570,r6,r1,,,,,,,,,,,,,,
handover,segment,m12_s1,e297,e553,r3,r4,,,,,,,,,,,,,,
handover,segment,m12_s2,e301,e591,r7,r2,,,,,,,,,,,,,,
handover,segment,m12_s2,e591,e668,r2,r5,,,,,,,,,,,,,,
handover,segment,m12_s3,e305,e619,r5,r1,,,,,,,,,,,,,,
handover,segment,m13_s1,e281,e548,r7,r2,,,,,,,,,,,,,,
handover,segment,m13_s1,e548,e609,r2,r4,,,,,,,,,,,,,,
handover,segment,m13_s3,e289,e574,r1,r2,,,,,,,,,,,,,,
handover,segment,m13_s3,e574,e624,r2,r8,,,,,,,,,,,,,,
handover,segment,m14_s1,e322,e600,r1,r4,,,,,,,,,,,,,,
handover,segment,m14_s2,e326,e595,r3,r6,,,,,,,,,,,,,,
handover,segment,m14_s2,e595,e663,r6,r5,,,,,,,,,,,,,,
handover,segment,m14_s3,e330,e614,r7,r5,,,,,,,,,,,,,,
handover,segment,m15_s1,e349,e628,r1,r6,,,,,,,,,,,,,,
handover,segment,m15_s1,e628,e682,r6,r1,,,,,,,,,,,,,,
handover,segment,m15_s2,e353,e636,r3,r4,,,,,,,,,,,,,,
handover,segment,m15_s3,e357,e658,r5,r6,,,,,,,,,,,,,,
handover,segment,m15_s3,e658,e714,r6,r5,,,,,,,,,,,,,,
handover,segment,m16_s1,e365,e687,r3,r5,,,,,,,,,,,,,,
handover,segment,m16_s2,e369,e649,r7,r2,,,,,,,,,,,,,,
handover,segment,m16_s2,e649,e692,r2,r8,,,,,,,,,,,,,,
handover,segment,m16_s3,e373,e654,r1,r8,,,,,,,,,,,,,,
handover,segment,m17_s1,e394,e705,r5,r6,,,,,,,,,,,,,,
