task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t66,harvest,m7,m7_s3,segment,r4,hungarian,2026-01-01T08:13:30.60,e475,2026-01-01T08:23:15.77,2026-01-01T08:23:44.21
t61,harvest,m7,m7_s1,segment,r8,hungarian,2026-01-01T08:13:32.60,e480,2026-01-01T08:23:53.08,2026-01-01T08:24:20.14
t70,harvest,m8,m8_s1,segment,r4,hungarian,2026-01-01T08:13:49.39,e485,2026-01-01T08:26:33.10,2026-01-01T08:26:54.78
t51,harvest,m6,m6_s1,segment,r8,hungarian,2026-01-01T08:13:49.45,e490,2026-01-01T08:26:19.39,2026-01-01T08:26:38.80
t89,harvest,m10,m10_s1,segment,r1,hungarian,2026-01-01T08:13:56.60,e495,2026-01-01T08:27:35.44,2026-01-01T08:28:03.44
t84,spray,m9,m9_s3,segment,r2,hungarian,2026-01-01T08:14:09.14,e499,2026-01-01T08:16:54.37,2026-01-01T08:17:14.15
t54,harvest,m6,m6_s2,segment,r5,hungarian,2026-01-01T08:14:11.60,e504,2026-01-01T08:28:26.57,2026-01-01T08:28:46.48
t73,harvest,m8,m8_s2,segment,r4,hungarian,2026-01-01T08:14:54.61,e509,2026-01-01T08:28:44.51,2026-01-01T08:29:05.84
t82,harvest,m9,m9_s2,segment,r1,hungarian,2026-01-01T08:15:05.85,e514,2026-01-01T08:29:01.86,2026-01-01T08:29:29.03
t92,harvest,m10,m10_s2,segment,r8,hungarian,2026-01-01T08:15:05.98,e519,2026-01-01T08:28:34.74,2026-01-01T08:29:02.33
t94,harvest,m10,m10_s3,segment,r8,hungarian,2026-01-01T08:15:20.07,e524,2026-01-01T08:29:53.07,2026-01-01T08:30:13.90
t79,spray,m9,m9_s1,segment,r2,hungarian,2026-01-01T08:15:39.23,e528,2026-01-01T08:17:50.92,2026-01-01T08:18:06.11
t103,spray,m11,m11_s3,segment,r6,hungarian,2026-01-01T08:16:08.48,e532,2026-01-01T08:17:31.53,2026-01-01T08:17:48.02
t48,final_inspection,m5,,mission,r3,hungarian,2026-01-01T08:16:12.41,e536,2026-01-01T08:28:26.19,2026-01-01T08:28:33.23
t101,harvest,m11,m11_s2,segment,r5,hungarian,2026-01-01T08:16:44.12,e544,2026-01-01T08:30:10.02,2026-01-01T08:30:38.32
t117,spray,m13,m13_s1,segment,r2,hungarian,2026-01-01T08:16:46.93,e548,2026-01-01T08:19:04.39,2026-01-01T08:19:22.55
t108,harvest,m12,m12_s1,segment,r4,hungarian,2026-01-01T08:16:49.07,e553,2026-01-01T08:30:03.78,2026-01-01T08:30:32.17
t98,spray,m11,m11_s1,segment,r6,hungarian,2026-01-01T08:17:04.40,e557,2026-01-01T08:19:56.16,2026-01-01T08:20:16.85
t85,harvest,m9,m9_s3,segment,r8,hungarian,2026-01-01T08:17:14.15,e562,2026-01-01T08:31:25.91,2026-01-01T08:31:45.45
t104,harvest,m11,m11_s3,segment,r1,hungarian,2026-01-01T08:17:48.02,e570,2026-01-01T08:30:57.69,2026-01-01T08:31:25.66
t122,spray,m13,m13_s3,segment,r2,hungarian,2026-01-01T08:18:01.80,e574,2026-01-01T08:19:43.35,2026-01-01T08:19:58.54
t80,harvest,m9,m9_s1,segment,r8,hungarian,2026-01-01T08:18:06.11,e582,2026-01-01T08:32:58.06,2026-01-01T08:33:22.80
t120,harvest,m13,m13_s2,segment,r5,hungarian,2026-01-01T08:18:35.03,e587,2026-01-01T08:32:21.65,2026-01-01T08:32:50.29
t110,spray,m12,m12_s2,segment,r2,hungarian,2026-01-01T08:18:41.08,e591,2026-01-01T08:21:52.18,2026-01-01T08:22:09.39
t129,spray,m14,m14_s2,segment,r6,hungarian,2026-01-01T08:18:54.41,e595,2026-01-01T08:21:48.10,2026-01-01T08:22:04.15
t127,harvest,m14,m14_s1,segment,r4,hungarian,2026-01-01T08:19:03.91,e600,2026-01-01T08:32:31.27,2026-01-01T08:32:58.04
t38,final_inspection,m4,,mission,r7,hungarian,2026-01-01T08:19:18.43,e604,2026-01-01T08:27:36.59,2026-01-01T08:27:43.25
t118,harvest,m13,m13_s1,segment,r4,hungarian,2026-01-01T08:19:22.55,e609,2026-01-01T08:33:52.88,2026-01-01T08:34:15.91
t132,harvest,m14,m14_s3,segment,r5,hungarian,2026-01-01T08:19:29.69,e614,2026-01-01T08:33:25.90,2026-01-01T08:33:46.76
t113,harvest,m12,m12_s3,segment,r1,hungarian,2026-01-01T08:19:41.19,e619,2026-01-01T08:33:05.90,2026-01-01T08:33:34.58
t123,harvest,m13,m13_s3,segment,r8,hungarian,2026-01-01T08:19:58.54,e624,2026-01-01T08:34:33.93,2026-01-01T08:35:02.21
t136,spray,m15,m15_s1,segment,r6,hungarian,2026-01-01T08:20:09.33,e628,2026-01-01T08:23:16.45,2026-01-01T08:23:34.79
t139,harvest,m15,m15_s2,segment,r4,hungarian,2026-01-01T08:20:11.91,e636,2026-01-01T08:34:58.76,2026-01-01T08:35:24.18
t99,harvest,m11,m11_s1,segment,r1,hungarian,2026-01-01T08:20:16.85,e641,2026-01-01T08:35:28.33,2026-01-01T08:35:56.94
t29,final_inspection,m3,,mission,r7,hungarian,2026-01-01T08:20:52.76,e645,2026-01-01T08:30:08.77,2026-01-01T08:30:18.05
t148,spray,m16,m16_s2,segment,r2,hungarian,2026-01-01T08:20:58.16,e649,2026-01-01T08:23:48.27,2026-01-01T08:24:09.17
t151,harvest,m16,m16_s3,segment,r8,hungarian,2026-01-01T08:20:59.47,e654,2026-01-01T08:35:20.70,2026-01-01T08:35:46.55
t141,spray,m15,m15_s3,segment,r6,hungarian,2026-01-01T08:22:02.45,e658,2026-01-01T08:24:58.46,2026-01-01T08:25:14.47
t130,harvest,m14,m14_s2,segment,r5,hungarian,2026-01-01T08:22:04.15,e663,2026-01-01T08:34:36.69,2026-01-01T08:34:58.00
t111,harvest,m12,m12_s2,segment,r5,hungarian,2026-01-01T08:22:09.39,e668,2026-01-01T08:36:18.02,2026-01-01T08:36:38.02
t160,spray,m17,m17_s3,segment,r2,hungarian,2026-01-01T08:22:34.28,e672,2026-01-01T08:26:57.42,2026-01-01T08:27:14.20
t158,harvest,m17,m17_s2,segment,r4,hungarian,2026-01-01T08:22:45.49,e677,2026-01-01T08:38:40.81,2026-01-01T08:39:06.76
t137,harvest,m15,m15_s1,segment,r1,hungarian,2026-01-01T08:23:34.79,e682,2026-01-01T08:36:26.26,2026-01-01T08:36:54.83
t146,harvest,m16,m16_s1,segment,r5,hungarian,2026-01-01T08:23:51.98,e687,2026-01-01T08:37:25.45,2026-01-01T08:37:45.97
t149,harvest,m16,m16_s2,segment,r8,hungarian,2026-01-01T08:24:09.17,e692,2026-01-01T08:38:30.31,2026-01-01T08:38:55.34
