event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e217,Control,navigate,2026-01-01T08:13:49.45,2026-01-01T08:15:05.00,r1,,,
e383,Control,position,2026-01-01T08:13:50.73,2026-01-01T08:13:52.75,r6,,,
e239,Control,position,2026-01-01T08:13:52.10,2026-01-01T08:13:54.16,r5,,,
e384,Control,activate_sprayer,2026-01-01T08:13:52.75,2026-01-01T08:13:55.60,r6,,,
e240,Control,align_camera,2026-01-01T08:13:54.16,2026-01-01T08:13:56.23,r5,,,
e385,Task,spray,2026-01-01T08:13:55.60,2026-01-01T08:14:11.60,r6,m6,m6_s2,t53
e241,Task,inspect,2026-01-01T08:13:56.23,2026-01-01T08:14:09.14,r5,m9,m9_s3,t83
e230,Control,navigate,2026-01-01T08:13:56.60,2026-01-01T08:15:23.65,r7,,,
e246,Control,navigate,2026-01-01T08:14:09.14,2026-01-01T08:16:27.76,r5,,,
e403,Control,navigate,2026-01-01T08:14:11.60,2026-01-01T08:14:33.75,r6,,,
